 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.8948,"The table, and his staves, and all his vessels, and the showbread,","It is He Who produceth gardens, with trellises and without, and dates, and tilth with produce of all kinds, and olives and pomegranates, similar (in kind) and different (in variety): eat of their fruit in their season, but render the dues that are proper on the day that the harvest is gathered. But waste not by excess: for Allah loveth not the wasters."
 0.9189,"The candlestick also for the light, and his furniture, and his lamps, with the oil for the light,","And (silver) doors to their houses, and thrones (of silver) on which they could recline,"
 0.9162,"And the incense altar, and his staves, and the anointing oil, and the sweet incense, and the hanging for the door at the entering in of the tabernacle,","Behold! We gave the site, to Abraham, of the (Sacred) House, (saying): ""Associate not anything (in worship) with Me; and sanctify My House for those who compass it round, or stand up, or bow, or prostrate themselves (therein in prayer)."
 0.9262,"The altar of burnt offering, with his brazen grate, his staves, and all his vessels, the laver and his foot,","For such the reward is forgiveness from their Lord, and Gardens with rivers flowing underneath,- an eternal dwelling: How excellent a recompense for those who work (and strive)!"
 0.9145,"The hangings of the court, his pillars, and their sockets, and the hanging for the door of the court,","And (silver) doors to their houses, and thrones (of silver) on which they could recline,"
 0.9067,"The pins of the tabernacle, and the pins of the court, and their cords,","As to the Righteous, they shall be amidst (cool) shades and springs (of water)."
 0.9435,"The cloths of service, to do service in the holy place, the holy garments for Aaron the priest, and the garments of his sons, to minister in the priest's office.","In the past We granted to Moses and Aaron the criterion (for judgment), and a Light and a Message for those who would do right,-"
 0.9256,And all the congregation of the children of Israel departed from the presence of Moses.,"We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9388,"And they came, every one whose heart stirred him up, and every one whom his spirit made willing, and they brought the LORD's offering to the work of the tabernacle of the congregation, and for all his service, and for the holy garments.","And Mary the daughter of 'Imran, who guarded her chastity; and We breathed into (her body) of Our spirit; and she testified to the truth of the words of her Lord and of His Revelations, and was one of the devout (servants)."
 0.9084,"And they came, both men and women, as many as were willing hearted, and brought bracelets, and earrings, and rings, and tablets, all jewels of gold: and every man that offered, offered an offering of gold unto the LORD.","Upon them will be green Garments of fine silk and heavy brocade, and they will be adorned with Bracelets of silver; and their Lord will give to them to drink of a Wine Pure and Holy."
 0.9253,"And every man, with whom was found blue, and purple, and scarlet, and fine linen, and goats' hair, and red skins of rams, and badgers' skins, brought them.","It is He Who produceth gardens, with trellises and without, and dates, and tilth with produce of all kinds, and olives and pomegranates, similar (in kind) and different (in variety): eat of their fruit in their season, but render the dues that are proper on the day that the harvest is gathered. But waste not by excess: for Allah loveth not the wasters."
 0.9299,"Every one that did offer an offering of silver and brass brought the LORD's offering: and every man, with whom was found shittim wood for any work of the service, brought it.","Then to eat of all the produce (of the earth), and find with skill the spacious paths of its Lord: there issues from within their bodies a drink of varying colours, wherein is healing for men: verily in this is a Sign for those who give thought."
 0.9108,"And all the women that were wise hearted did spin with their hands, and brought that which they had spun, both of blue, and of purple, and of scarlet, and of fine linen.","And in the earth are tracts (diverse though) neighbouring, and gardens of vines and fields sown with corn, and palm trees - growing out of single roots or otherwise: watered with the same water, yet some of them We make more excellent than others to eat. Behold, verily in these things there are signs for those who understand!"
 0.9308,And all the women whose heart stirred them up in wisdom spun goats' hair.,And He created Jinns from fire free of smoke:
 0.9108,"And the rulers brought onyx stones, and stones to be set, for the ephod, and for the breastplate;","And (silver) doors to their houses, and thrones (of silver) on which they could recline,"
 0.9026,"And spice, and oil for the light, and for the anointing oil, and for the sweet incense.","As to the Righteous, they shall drink of a Cup (of Wine) mixed with Kafur,-"
 0.9434,"The children of Israel brought a willing offering unto the LORD, every man and woman, whose heart made them willing to bring for all manner of work, which the LORD had commanded to be made by the hand of Moses.","All food was lawful to the Children of Israel, except what Israel Made unlawful for itself, before the Law (of Moses) was revealed. Say: ""Bring ye the Law and study it, if ye be men of truth."""
 0.9265,"And Moses said unto the children of Israel, See, the LORD hath called by name Bezaleel the son of Uri, the son of Hur, of the tribe of Judah;","We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9240,"And he hath filled him with the spirit of God, in wisdom, in understanding, and in knowledge, and in all manner of workmanship;","To Him be glory throughout the heavens and the earth: and He is Exalted in Power, Full of Wisdom!"
